Individu,Lieu_depart,Temps_attente,Temps_trajet,Heure_depart,Heure_arrivee,Lieu_arrivee,Numero_trajet
86,Domicile,5.213014068146106,0.86,5.213014068146106,6.073014068146106,Rue,1
43,Rue,0.09,0.14,5.991003650055303,6.131003650055304,Entreprise,3
42,Domicile,5.213944626910969,0.93,5.213944626910969,6.143944626910969,Rue,1
2,Entreprise,5.773176772760291,0.38,5.773176772760291,6.153176772760291,Entreprise,1
56,Domicile,5.9773280382973315,0.19,5.9773280382973315,6.167328038297332,Entreprise,1
14,Rue,6.141400592490419,0.06,6.141400592490419,6.201400592490419,Entreprise,1
21,Rue,5.883571782834668,0.37,5.883571782834668,6.253571782834668,Rue,1
31,Rue,0.5,0.17,6.103756095866943,6.2737560958669425,Entreprise,2
35,Domicile,5.898875147888388,0.45,5.898875147888388,6.348875147888388,Parking,1
50,Rue,0.25,0.06,6.316689795258572,6.376689795258572,Rue,2
24,Rue,0.37,0.19,6.228913627973836,6.418913627973836,Parking,2
19,Rue,0.62,0.21,6.218616654215747,6.428616654215747,Entreprise,3
42,Rue,0.05,0.38,6.193944626910969,6.5739446269109685,Domicile,2
58,Domicile,6.039602916158236,0.57,6.039602916158236,6.609602916158236,Rue,1
50,Rue,0.14,0.11,6.516689795258571,6.626689795258572,Domicile,3
23,Domicile,6.234107595670878,0.4,6.234107595670878,6.634107595670878,Entreprise,1
59,Rue,6.146067662316384,0.51,6.146067662316384,6.656067662316384,Rue,1
87,Rue,2.23,0.21,6.478630723228255,6.688630723228256,Entreprise,3
63,Sans,0.6,0.17,6.5563795920848,6.7263795920847995,Parking,2
49,Domicile,6.43838305491911,0.32,6.43838305491911,6.75838305491911,Entreprise,1
8,Domicile,5.964318456625445,0.83,5.964318456625445,6.794318456625445,Entreprise,1
51,Rue,6.7504281194359415,0.06,6.7504281194359415,6.810428119435941,Parking,1
85,Rue,0.85,0.05,6.8168058654577335,6.866805865457733,Rue,2
45,Domicile,6.822999465144384,0.1,6.822999465144384,6.922999465144383,Rue,1
28,Domicile,6.167675879325881,0.77,6.167675879325881,6.93767587932588,Rue,1
71,Domicile,6.822060906889172,0.17,6.822060906889172,6.992060906889172,Parking,1
79,Parking,1.42,0.09,6.906689356404242,6.996689356404242,Domicile,4
48,Domicile,6.969016082204001,0.05,6.969016082204001,7.019016082204001,Rue,1
60,Domicile,6.8627801985565045,0.19,6.8627801985565045,7.052780198556505,Parking,1
78,Domicile,6.384217699715857,0.77,6.384217699715857,7.154217699715858,Rue,1
24,Parking,0.53,0.21,6.948913627973837,7.158913627973837,Domicile,3
73,Rue,2.04,0.16,7.004475993826586,7.164475993826586,Rue,2
18,Domicile,6.752635540481866,0.45,6.752635540481866,7.202635540481866,Rue,1
35,Parking,0.23,0.63,6.578875147888389,7.208875147888389,Domicile,2
27,Parking,1.23,0.17,7.0391616046094985,7.209161604609498,Parking,2
70,Domicile,0.69,0.51,6.701027404076411,7.211027404076411,Parking,3
86,Rue,0.93,0.21,7.003014068146106,7.213014068146106,Parking,2
98,Rue,7.1278252239790225,0.09,7.1278252239790225,7.217825223979022,Domicile,1
47,Rue,6.807131515536077,0.46,6.807131515536077,7.267131515536077,Parking,1
21,Rue,0.88,0.15,7.133571782834668,7.283571782834668,Entreprise,2
96,Rue,1.52,0.57,6.725217859352478,7.295217859352478,Parking,2
76,Domicile,6.2855934533577,1.08,6.2855934533577,7.3655934533577,Domicile,1
62,Domicile,6.970431509092546,0.46,6.970431509092546,7.430431509092546,Rue,1
70,Parking,0.13,0.11,7.341027404076411,7.451027404076411,Rue,4
59,Rue,0.38,0.49,7.036067662316384,7.526067662316384,Rue,2
72,Domicile,7.285073035860905,0.25,7.285073035860905,7.535073035860905,Entreprise,1
74,Rue,7.342603691234991,0.21,7.342603691234991,7.5526036912349905,Rue,1
29,Domicile,5.3321921465719075,2.25,5.3321921465719075,7.5821921465719075,Entreprise,1
64,Domicile,7.442173907909282,0.2,7.442173907909282,7.6421739079092825,Rue,1
85,Rue,0.68,0.11,7.546805865457733,7.656805865457733,Parking,3
94,Rue,7.61671440343334,0.06,7.61671440343334,7.67671440343334,Rue,1
83,Parking,2.83,0.18,7.547152864584154,7.727152864584154,Entreprise,3
52,Domicile,7.577262248915849,0.19,7.577262248915849,7.767262248915849,Rue,1
31,Entreprise,1.27,0.24,7.543756095866943,7.783756095866942,Parking,3
92,Domicile,7.538189137325042,0.28,7.538189137325042,7.818189137325042,Entreprise,1
76,Domicile,0.11,0.35,7.475593453357701,7.8255934533577,Parking,2
62,Rue,0.2,0.22,7.6304315090925465,7.850431509092546,Rue,2
97,Rue,7.584792136198259,0.27,7.584792136198259,7.8547921361982596,Parking,1
63,Parking,0.86,0.34,7.5863795920848,7.9263795920848,Entreprise,3
33,Parking,2.43,0.13,7.807904091870503,7.937904091870502,Rue,4
32,Rue,3.14,0.23,7.721717192979826,7.951717192979826,Parking,2
20,Domicile,2.43,0.64,7.345887896623397,7.985887896623397,Entreprise,2
74,Rue,0.28,0.17,7.832603691234991,8.002603691234992,Parking,2
