Individu,Lieu_depart,Temps_attente,Temps_trajet,Heure_depart,Heure_arrivee,Lieu_arrivee,Numero_trajet
432,Domicile,4.633455490439221,0.15,4.633455490439221,4.783455490439222,Parking,1
63,Rue,0.25,0.16,4.638152514867858,4.7981525148678585,Rue,2
220,Domicile,4.610016570153271,0.21,4.610016570153271,4.820016570153271,Rue,1
418,Rue,1.16,0.36,4.465557883844864,4.825557883844865,Rue,2
159,Domicile,4.697948098094765,0.14,4.697948098094765,4.837948098094765,Sans,1
440,Rue,0.02,0.15,4.693284734183979,4.843284734183979,Parking,2
493,Rue,0.23,0.13,4.72660273878371,4.85660273878371,Entreprise,2
404,Domicile,4.72150523796891,0.14,4.72150523796891,4.86150523796891,Entreprise,1
463,Domicile,4.433040635112398,0.44,4.433040635112398,4.873040635112399,Rue,1
21,Domicile,4.0741433173462385,0.8,4.0741433173462385,4.874143317346238,Rue,1
389,Domicile,4.679505062219011,0.2,4.679505062219011,4.879505062219011,Entreprise,1
52,Domicile,4.801573214054758,0.08,4.801573214054758,4.881573214054758,Parking,1
131,Rue,4.632504367762988,0.26,4.632504367762988,4.892504367762988,Entreprise,1
254,Parking,0.17,0.39,4.518352220805124,4.908352220805123,Parking,2
417,Rue,4.659053587333367,0.25,4.659053587333367,4.909053587333367,Rue,1
78,Domicile,4.727251493460672,0.19,4.727251493460672,4.917251493460673,Entreprise,1
351,Rue,0.27,0.42,4.5066503289270905,4.92665032892709,Entreprise,2
333,Domicile,4.879712020739911,0.07,4.879712020739911,4.949712020739911,Parking,1
387,Domicile,4.730179569783787,0.22,4.730179569783787,4.950179569783787,Rue,1
419,Domicile,4.292531118439969,0.68,4.292531118439969,4.972531118439969,Entreprise,1
211,Domicile,4.838794544141809,0.15,4.838794544141809,4.988794544141809,Rue,1
72,Domicile,4.7294679241592315,0.26,4.7294679241592315,4.989467924159231,Parking,1
225,Parking,0.42,0.05,4.944945447974485,4.994945447974485,Domicile,5
52,Parking,0.04,0.08,4.921573214054758,5.001573214054758,Rue,2
130,Domicile,4.884956998311139,0.12,4.884956998311139,5.0049569983111395,Parking,1
6,Domicile,0.49,0.94,4.068323086225289,5.008323086225289,Entreprise,2
57,Domicile,4.551409788310561,0.47,4.551409788310561,5.021409788310561,Entreprise,1
281,Domicile,4.954103336638895,0.07,4.954103336638895,5.024103336638896,Rue,1
95,Rue,0.55,0.24,4.794328003902236,5.034328003902236,Rue,2
193,Parking,0.78,0.35,4.688588014811733,5.038588014811733,Domicile,2
77,Domicile,4.805615069275724,0.24,4.805615069275724,5.0456150692757245,Rue,1
349,Parking,4.7613544976615145,0.29,4.7613544976615145,5.051354497661515,Entreprise,1
184,Rue,4.855958054138622,0.2,4.855958054138622,5.055958054138622,Rue,1
393,Rue,4.786199766915793,0.27,4.786199766915793,5.0561997669157925,Domicile,1
479,Domicile,4.969766825715852,0.11,4.969766825715852,5.079766825715852,Entreprise,1
9,Domicile,4.936158351864212,0.16,4.936158351864212,5.096158351864212,Rue,1
192,Rue,0.43,0.65,4.449661774486048,5.099661774486048,Entreprise,2
470,Entreprise,4.956722582496323,0.15,4.956722582496323,5.106722582496324,Entreprise,1
391,Parking,0.93,0.2,4.907037420083261,5.107037420083262,Parking,2
362,Rue,4.877326847430319,0.23,4.877326847430319,5.107326847430319,Domicile,1
439,Domicile,4.858077206780193,0.25,4.858077206780193,5.108077206780193,Entreprise,1
243,Domicile,4.677542068129274,0.45,4.677542068129274,5.127542068129274,Sans,1
486,Domicile,4.9566983787159655,0.18,4.9566983787159655,5.136698378715965,Sans,1
62,Domicile,0.31,0.1,5.042626669560573,5.142626669560573,Rue,3
21,Rue,0.08,0.19,4.954143317346238,5.144143317346239,Entreprise,2
333,Parking,0.08,0.12,5.029712020739911,5.149712020739911,Parking,2
227,Domicile,4.910481910381062,0.26,4.910481910381062,5.170481910381062,Entreprise,1
76,Domicile,5.011807529319316,0.16,5.011807529319316,5.171807529319316,Entreprise,1
55,Domicile,4.509038683356975,0.67,4.509038683356975,5.179038683356975,Parking,1
240,Domicile,5.0408757865196705,0.15,5.0408757865196705,5.190875786519671,Sans,1
111,Parking,0.32,0.19,5.004732950368672,5.194732950368672,Entreprise,3
273,Domicile,5.017987312300808,0.18,5.017987312300808,5.197987312300808,Rue,1
461,Rue,0.51,0.28,4.923298678122753,5.203298678122753,Rue,2
128,Parking,0.94,0.09,5.118565945364619,5.208565945364619,Rue,2
214,Parking,1.14,0.2,5.0109098223534065,5.210909822353407,Entreprise,2
23,Domicile,4.675548734764547,0.54,4.675548734764547,5.215548734764547,Parking,1
39,Rue,5.173117978015206,0.05,5.173117978015206,5.223117978015206,Rue,1
313,Rue,4.659361927326619,0.57,4.659361927326619,5.229361927326619,Entreprise,1
445,Parking,0.77,0.11,5.1254378397870255,5.235437839787026,Domicile,2
298,Rue,4.867387492632625,0.37,4.867387492632625,5.237387492632625,Domicile,1
195,Rue,5.050735866922329,0.19,5.050735866922329,5.240735866922329,Entreprise,1
118,Domicile,5.1648334500046715,0.08,5.1648334500046715,5.244833450004672,Parking,1
258,Domicile,5.06798103725889,0.18,5.06798103725889,5.2479810372588895,Rue,1
202,Domicile,4.898236083511152,0.36,4.898236083511152,5.258236083511152,Parking,1
338,Domicile,4.426330934392846,0.85,4.426330934392846,5.2763309343928455,Sans,1
315,Domicile,4.609165754071664,0.67,4.609165754071664,5.279165754071664,Parking,1
412,Rue,5.18803683343706,0.1,5.18803683343706,5.28803683343706,Entreprise,1
352,Rue,0.18,0.46,4.834067343281189,5.294067343281189,Entreprise,2
20,Domicile,5.1291096927898785,0.17,5.1291096927898785,5.299109692789878,Parking,1
473,Domicile,5.053090301103706,0.28,5.053090301103706,5.333090301103706,Rue,1
133,Domicile,5.174452234987355,0.16,5.174452234987355,5.3344522349873555,Rue,1
392,Domicile,4.676983566495587,0.66,4.676983566495587,5.336983566495587,Parking,1
288,Entreprise,0.2,0.55,4.7934251075507985,5.343425107550798,Rue,2
187,Domicile,5.163916726285992,0.18,5.163916726285992,5.3439167262859915,Entreprise,1
239,Rue,4.857212120068393,0.49,4.857212120068393,5.347212120068393,Domicile,1
414,Rue,4.417330584601155,0.93,4.417330584601155,5.3473305846011545,Entreprise,1
108,Domicile,4.779151925110438,0.58,4.779151925110438,5.359151925110438,Domicile,1
315,Parking,0.02,0.06,5.299165754071663,5.359165754071663,Parking,2
444,Domicile,5.16065124496075,0.2,5.16065124496075,5.36065124496075,Rue,1
225,Domicile,0.06,0.31,5.054945447974484,5.364945447974485,Entreprise,6
181,Domicile,5.30653614949674,0.06,5.30653614949674,5.366536149496739,Rue,1
210,Domicile,5.018028944446895,0.36,5.018028944446895,5.378028944446895,Rue,1
70,Rue,5.277945395056843,0.11,5.277945395056843,5.3879453950568434,Parking,1
120,Domicile,4.720731510156462,0.67,4.720731510156462,5.390731510156462,Entreprise,1
314,Domicile,5.087666984646419,0.31,5.087666984646419,5.397666984646419,Sans,1
464,Parking,0.55,0.16,5.238890723444503,5.398890723444503,Rue,2
123,Parking,5.325881742647758,0.08,5.325881742647758,5.405881742647758,Domicile,1
411,Parking,1.34,0.18,5.233116362145691,5.413116362145691,Rue,2
341,Rue,5.185063941191281,0.23,5.185063941191281,5.415063941191281,Parking,1
268,Domicile,4.916746570322024,0.5,4.916746570322024,5.416746570322024,Parking,1
143,Domicile,5.282300878085323,0.14,5.282300878085323,5.422300878085323,Rue,1
35,Domicile,5.322957929614548,0.1,5.322957929614548,5.422957929614547,Rue,1
154,Domicile,5.3073210653881215,0.12,5.3073210653881215,5.427321065388122,Entreprise,1
63,Rue,0.05,0.58,4.848152514867858,5.428152514867858,Rue,3
277,Rue,5.341753221440611,0.09,5.341753221440611,5.431753221440611,Rue,1
385,Rue,5.315293656164636,0.12,5.315293656164636,5.435293656164636,Rue,1
116,Domicile,4.847358263121072,0.61,4.847358263121072,5.457358263121073,Rue,1
300,Domicile,5.129605331467035,0.33,5.129605331467035,5.459605331467035,Entreprise,1
490,Rue,0.25,1.06,4.40227816772698,5.46227816772698,Domicile,2
60,Domicile,5.07586574997615,0.39,5.07586574997615,5.46586574997615,Rue,1
285,Domicile,5.106169706749423,0.36,5.106169706749423,5.466169706749423,Entreprise,1
384,Domicile,5.359395969653974,0.11,5.359395969653974,5.4693959696539745,Rue,1
126,Domicile,5.131342770501522,0.34,5.131342770501522,5.471342770501522,Rue,1
109,Domicile,5.324143274881628,0.15,5.324143274881628,5.474143274881628,Parking,1
166,Rue,5.07159833693746,0.41,5.07159833693746,5.48159833693746,Domicile,1
218,Domicile,4.710755292750144,0.78,4.710755292750144,5.490755292750144,Rue,1
450,Rue,5.353336125123747,0.14,5.353336125123747,5.493336125123746,Rue,1
15,Rue,1.2,0.14,5.35506078765886,5.4950607876588595,Rue,2
420,Domicile,5.367773261522642,0.13,5.367773261522642,5.497773261522642,Entreprise,1
190,Domicile,5.32365001902185,0.18,5.32365001902185,5.503650019021849,Entreprise,1
142,Rue,5.111302534908681,0.4,5.111302534908681,5.5113025349086815,Domicile,1
